,height,weight,url,name,firstyear,lastyear,primary_pos
15199,6-03,195,player.php?p=sanfoja01,Jack Sanford,1940,1946,1B
15200,6-00,190,player.php?p=sanfoja02,Jack Sanford,1956,1967,P
15201,6-06,220,player.php?p=sanfomo01,Mo Sanford,1991,1995,P
15202,6-00,193,player.php?p=sanguma01,Manny Sanguillen,1967,1980,LF
15203,5-09,175,player.php?p=saniced01,Ed Sanicki,1949,1951,CF
15204,5-08,205,player.php?p=sanitam01,Amauri Sanit,2011,2011,P
15205,5-10,155,player.php?p=sankebe01,Ben Sankey,1929,1931,3B
15206,6-04,260,player.php?p=sanomi01,Miguel Sano,2015,2018,1B
15207,5-11,160,player.php?p=santaan01,Andres Santana,1990,1990,SS
15208,5-11,210,player.php?p=santaca01,Carlos Santana,2010,2018,LF
15209,5-11,185,player.php?p=santada01,Danny Santana,2014,2018,3B
15210,6-02,160,player.php?p=santade01,Dennis Santana,2018,2018,P
15211,6-05,220,player.php?p=santado01,Domingo Santana,2014,2018,LF
15212,6-02,195,player.php?p=santaed01,Edgar Santana,2017,2018,P
15213,6-02,175,player.php?p=santaer01,Ervin Santana,2005,2017,P
15214,6-00,210,player.php?p=santajo02,Johan Santana,2000,2012,P
15215,6-00,175,player.php?p=santaju01,Julio Santana,1997,2006,P
15216,6-01,175,player.php?p=santama01,Marino Santana,1998,1999,P
15217,5-11,160,player.php?p=santape01,Pedro Santana,2001,2001,2B
15218,6-01,165,player.php?p=santara01,Rafael Santana,1983,1990,3B
15219,6-02,190,player.php?p=santaan02,Anthony Santander,2017,2018,LF
15220,5-10,165,player.php?p=santaf01,F.P. Santangelo,1995,2001,SS
15221,6-01,190,player.php?p=santibe01,Benito Santiago,1986,2005,LF
15222,6-00,215,player.php?p=santihe01,Hector Santiago,2011,2018,P
15223,5-10,175,player.php?p=santijo01,Jose Santiago,1954,1956,P
15224,6-02,185,player.php?p=santijo02,Jose Santiago,1963,1970,P
15225,6-03,200,player.php?p=santijo03,Jose Santiago,1997,2005,P
15226,5-11,175,player.php?p=santira01,Ramon Santiago,2002,2014,LF
15227,6-00,190,player.php?p=santoro01,Ron Santo,1960,1974,1B
15228,6-00,160,player.php?p=santora01,Rafael Santo Domingo,1979,1979,1B
15229,6-00,190,player.php?p=santoal01,Al Santorini,1968,1973,P
15230,5-11,178,player.php?p=santoan01,Angel Santos,2001,2003,3B
15231,5-11,220,player.php?p=santoch01,Chad Santos,2006,2006,1B
15232,6-01,175,player.php?p=santofr01,Francisco Santos,2003,2003,1B
15233,6-00,185,player.php?p=santolu01,Luis Santos,2017,2018,P
15234,6-00,200,player.php?p=santoom01,Omir Santos,2008,2013,C
15235,6-03,215,player.php?p=santose01,Sergio Santos,2010,2015,P
15236,6-03,175,player.php?p=santovi01,Victor Santos,2001,2007,P
15237,6-03,215,player.php?p=santone01,Nelson Santovenia,1987,1993,1B
15238,Unknown,Unknown,player.php?p=santred01,Edward Santry,1884,1884,2B
15239,5-09,195,player.php?p=sappeda01,Dave Sappelt,2011,2013,CF
15240,6-01,180,player.php?p=sardilu01,Luis Sardinas,2016,2018,LF
15241,6-01,220,player.php?p=sardibr01,Bronson Sardinha,2007,2007,3B
15242,6-00,215,player.php?p=sardida01,Dane Sardinha,2003,2011,C
15243,6-04,210,player.php?p=sarfade01,Dennis Sarfate,2006,2009,P
15244,5-10,165,player.php?p=sargejo01,Joe Sargent,1921,1921,SS
15245,6-00,170,player.php?p=sarmima01,Manny Sarmiento,1976,1983,P
15246,5-11,187,player.php?p=sarnibi01,Bill Sarni,1951,1956,C
15247,6-04,220,player.php?p=sasakka01,Kazuhiro Sasaki,2000,2003,P
15248,6-01,210,player.php?p=sassema01,Mackey Sasser,1987,1995,3B
15249,6-03,205,player.php?p=sassero01,Rob Sasser,1998,1998,3B
15250,6-02,215,player.php?p=satinjo01,Josh Satin,2011,2014,3B
15251,6-01,190,player.php?p=satrito01,Tom Satriano,1961,1970,SS
15252,6-02,165,player.php?p=saturlu01,Luis Saturria,2000,2001,LF
15253,6-01,180,player.php?p=saucifr01,Frank Saucier,1951,1951,RF
15254,6-01,196,player.php?p=saucike01,Kevin Saucier,1978,1982,P
15255,6-01,188,player.php?p=sauered01,Ed Sauer,1943,1949,CF
15256,6-04,199,player.php?p=sauerha01,Hank Sauer,1941,1959,1B
15257,6-03,197,player.php?p=sauersc01,Scott Sauerbeck,1999,2006,P
